frame,filename,pass_id,t,speed,yaw_rate,sharpness,n_edge,du,dv,du_mad,dv_mad,inlier8,n_edge_other,du_other,dv_other,de_nt,geometry_ok,pass_conflict,motion_ok,sharp_ok,cls,reasons
807,260408_120708666.jpg,11,301694.318021,3.72,0.47,299.2,7621,-0.11,1.22,4.46,8.5,0.244,0,nan,nan,4.925000000000001,True,False,True,True,clean,
808,260408_120710074.jpg,11,301695.726623,3.61,0.55,302.6,8231,0.02,-1.14,5.69,10.54,0.301,0,nan,nan,4.575,True,False,True,True,clean,
809,260408_120711559.jpg,11,301697.211025,3.45,0.61,307.5,7106,0.0,-0.69,6.16,8.09,0.377,0,nan,nan,4.875,True,False,True,True,clean,
810,260408_120713050.jpg,11,301698.702726,3.27,0.67,312.0,3774,-0.2,-3.73,7.31,12.24,0.171,0,nan,nan,5.275,True,False,True,True,clean,
811,260408_120714727.jpg,11,301700.379829,3.04,1.06,312.7,4722,0.45,-3.5,5.8,10.11,0.321,0,nan,nan,5.9750000000000005,True,False,True,True,clean,
812,260408_120716431.jpg,11,301702.084431,3.02,0.8,299.6,2077,-1.07,-4.53,9.51,11.17,0.108,0,nan,nan,5.775,True,False,True,True,clean,
813,260408_120717961.jpg,11,301703.614133,3.29,0.06,295.2,2360,0.88,-10.41,4.66,9.97,0.088,0,nan,nan,5.625,False,False,True,True,reject,geometry
814,260408_120719380.jpg,11,301705.033935,3.43,0.25,299.8,2218,7.18,-4.13,10.86,16.14,0.102,0,nan,nan,4.875,False,False,True,True,reject,geometry
815,260408_120720811.jpg,11,301706.465036,3.37,0.58,318.6,6016,3.94,-2.65,7.34,13.48,0.151,0,nan,nan,4.575,True,False,True,True,clean,
816,260408_120722286.jpg,11,301707.939738,3.3,0.29,311.7,5950,-0.3,-3.75,4.22,14.65,0.14,0,nan,nan,4.575,True,False,True,True,clean,
817,260408_120723865.jpg,11,301709.51954,3.24,0.49,316.0,5118,0.87,3.17,11.78,13.83,0.089,111,-0.05,-0.51,4.775,True,False,True,True,clean,
818,260408_120725353.jpg,11,301711.007448,3.35,0.37,318.0,2340,1.39,10.86,4.78,16.47,0.054,1,nan,nan,4.825,False,False,True,True,reject,geometry
819,260408_120726771.jpg,11,301712.42595,3.44,0.49,354.9,2512,1.66,-5.81,2.44,17.56,0.096,27,nan,nan,5.625,False,False,True,True,reject,geometry
820,260408_120728255.jpg,11,301713.909652,3.3,1.08,494.3,1750,-26.92,-0.99,0.78,17.26,0.002,0,nan,nan,6.7250000000000005,False,False,True,True,reject,geometry
821,260408_120729940.jpg,11,301715.595254,2.99,0.53,763.0,42,nan,nan,nan,nan,nan,0,nan,nan,6.875,False,False,False,True,usable,few_edges+slow
822,260408_120732080.jpg,11,301717.735924,2.53,0.3,440.5,33,nan,nan,nan,nan,nan,6,nan,nan,9.475,False,False,False,True,usable,few_edges+slow
823,260408_120734473.jpg,11,301720.128927,2.06,1.17,398.1,100,2.52,-0.87,4.44,10.26,0.01,25,nan,nan,7.075,False,False,False,True,usable,few_edges+slow
824,260408_120737349.jpg,11,301723.005531,1.84,2.56,403.9,673,-0.12,-18.92,0.79,12.94,0.055,56,0.65,2.13,8.125,False,False,False,True,reject,geometry+slow
825,260408_120923117.jpg,12,301828.789666,1.23,2.76,528.3,818,0.11,-9.33,12.05,13.42,0.024,0,nan,nan,7.125,False,False,False,True,reject,geometry+slow
826,260408_120925981.jpg,12,301831.65487,1.32,0.88,522.0,804,0.2,-11.74,3.12,11.21,0.038,0,nan,nan,7.025,False,False,False,True,reject,geometry+slow
827,260408_120929448.jpg,12,301835.121874,1.7,1.83,485.6,1584,0.08,10.01,8.79,10.14,0.107,0,nan,nan,8.675,False,False,False,True,reject,geometry+slow
828,260408_120931957.jpg,12,301837.631718,2.08,8.0,476.7,2978,-0.07,-2.71,6.48,12.83,0.243,0,nan,nan,11.075000000000001,True,False,False,True,usable,slow+turning
829,260408_120934208.jpg,12,301839.882921,2.05,16.69,418.1,1476,0.28,-4.66,8.78,6.45,0.335,0,nan,nan,6.875,True,False,False,True,usable,slow+turning
830,260408_120936462.jpg,12,301842.137076,2.17,11.24,424.1,1040,-2.53,5.62,11.49,7.34,0.206,0,nan,nan,6.2250000000000005,True,False,False,True,usable,slow+turning
831,260408_120938684.jpg,12,301844.358979,2.15,2.09,461.2,476,-5.49,4.37,18.45,4.7,0.116,0,nan,nan,9.775,False,False,False,True,reject,geometry+slow
832,260408_120940955.jpg,12,301846.630582,1.76,9.04,441.9,1131,-3.04,9.56,8.98,13.12,0.103,0,nan,nan,11.975000000000001,False,False,False,True,reject,geometry+slow+turning
833,260408_120944374.jpg,12,301850.050086,1.45,11.0,416.1,2799,-0.01,0.19,3.9,12.26,0.262,0,nan,nan,10.425,True,False,False,True,usable,slow+turning
834,260408_120947749.jpg,12,301853.42559,2.08,6.57,395.5,1736,-0.68,3.75,7.41,19.58,0.058,0,nan,nan,6.9750000000000005,False,False,False,True,reject,geometry+slow+turning
835,260408_120949815.jpg,12,301855.492542,2.46,1.53,377.2,4095,-0.2,-0.61,4.55,14.77,0.151,0,nan,nan,5.575,True,False,False,True,usable,slow
836,260408_120951804.jpg,12,301857.481101,2.53,0.9,373.9,3840,0.23,-0.72,5.95,28.35,0.071,0,nan,nan,5.425000000000001,False,False,False,True,reject,geometry+slow
837,260408_120953806.jpg,12,301859.483904,2.62,0.41,365.2,3685,-0.01,4.2,5.5,18.32,0.089,0,nan,nan,5.525,False,False,False,True,reject,geometry+slow
838,260408_120955769.jpg,12,301861.447255,2.78,0.45,385.2,2710,-0.68,-0.69,6.97,15.27,0.128,0,nan,nan,5.825,True,False,False,True,usable,slow
839,260408_120957561.jpg,12,301863.239857,2.6,8.07,397.4,4876,0.57,3.84,7.57,11.98,0.376,0,nan,nan,6.025,True,False,False,True,usable,slow+turning
840,260408_120959867.jpg,12,301865.54586,2.37,16.32,341.5,2422,1.99,2.12,7.56,23.64,0.067,0,nan,nan,5.925000000000001,False,False,False,True,reject,geometry+slow+turning
841,260408_121001676.jpg,12,301867.355063,2.7,12.68,307.0,3906,-0.58,-0.98,13.0,16.22,0.113,0,nan,nan,5.025,False,False,False,True,reject,geometry+slow+turning
842,260408_121003336.jpg,12,301869.015265,2.95,2.12,280.1,3555,0.44,9.94,6.93,6.07,0.175,0,nan,nan,4.525,False,False,False,True,reject,geometry+slow
843,260408_121004997.jpg,12,301870.676467,3.07,0.87,272.4,3613,0.26,-6.52,5.67,13.72,0.125,0,nan,nan,4.525,False,False,True,True,reject,geometry
844,260408_121006561.jpg,12,301872.240903,3.02,10.3,274.2,1938,0.33,-0.88,4.82,15.35,0.207,0,nan,nan,5.2250000000000005,True,False,False,True,usable,turning
845,260408_121008137.jpg,12,301873.817305,2.8,18.61,274.6,1495,-0.76,0.91,6.88,7.48,0.216,0,nan,nan,5.575,True,False,False,True,usable,slow+turning
846,260408_121009686.jpg,12,301875.366107,3.2,16.05,275.4,1917,1.46,-4.44,6.58,6.26,0.357,0,nan,nan,5.025,True,False,False,True,usable,turning
847,260408_121011010.jpg,12,301876.690409,3.74,10.34,283.1,1013,8.13,-2.94,9.81,17.77,0.074,0,nan,nan,5.025,False,False,False,True,reject,geometry+turning
848,260408_121012208.jpg,12,301877.888411,4.06,6.08,293.1,1510,-0.64,8.78,3.35,12.49,0.188,0,nan,nan,5.275,False,False,False,True,reject,geometry+turning
849,260408_121013399.jpg,12,301879.080212,4.26,3.84,297.1,1638,-0.13,-5.85,4.56,16.82,0.22,0,nan,nan,5.525,False,False,True,True,reject,geometry
850,260408_121014516.jpg,12,301880.197214,4.52,2.43,313.6,1157,-0.25,-6.53,3.27,6.53,0.461,0,nan,nan,5.425000000000001,False,False,True,True,reject,geometry
851,260408_121015551.jpg,12,301881.232315,4.84,0.83,347.1,451,-0.2,12.17,3.93,13.71,0.321,0,nan,nan,5.775,False,False,True,True,reject,geometry
852,260408_121016512.jpg,12,301882.193416,5.11,0.78,413.7,490,5.53,9.93,4.15,13.51,0.293,0,nan,nan,5.875,False,False,True,True,reject,geometry
853,260408_121017481.jpg,12,301883.162817,5.09,0.72,554.6,239,-3.52,4.6,15.66,18.06,0.029,0,nan,nan,5.675000000000001,False,False,True,True,unverified,few_edges
854,260408_121018515.jpg,12,301884.196619,4.79,0.22,703.4,905,0.36,-6.83,5.29,13.09,0.215,0,nan,nan,5.925000000000001,False,False,True,True,reject,geometry
855,260408_121019612.jpg,12,301885.29372,4.54,0.3,555.3,1400,-0.1,-4.08,2.82,12.0,0.348,0,nan,nan,6.2250000000000005,True,False,True,True,clean,
856,260408_121020751.jpg,12,301886.433021,4.37,0.39,409.3,1039,1.75,-0.97,9.51,6.68,0.332,0,nan,nan,5.675000000000001,True,False,True,True,clean,
857,260408_121021920.jpg,12,301887.602623,4.31,1.57,345.1,1162,0.63,-0.01,4.42,6.68,0.435,0,nan,nan,5.325,True,False,True,True,clean,
858,260408_121023084.jpg,12,301888.766924,4.38,0.6,326.5,1725,0.31,-0.95,3.54,9.85,0.534,0,nan,nan,5.175000000000001,True,False,True,True,clean,
859,260408_121024205.jpg,12,301889.887326,4.48,1.21,330.5,1353,-0.53,6.09,4.53,14.43,0.322,0,nan,nan,5.375,False,False,True,True,reject,geometry
860,260408_121025287.jpg,12,301890.970127,4.5,0.83,331.2,1079,0.22,0.56,5.38,9.07,0.433,0,nan,nan,5.275,True,False,True,True,clean,
861,260408_121026444.jpg,12,301892.126829,4.32,0.51,360.1,1187,-2.05,-1.86,2.96,7.39,0.356,0,nan,nan,5.325,True,False,True,True,clean,
862,260408_121027721.jpg,12,301893.40423,3.97,0.68,330.5,1145,-9.75,-9.68,7.52,9.31,0.321,0,nan,nan,5.625,False,False,True,True,reject,geometry
863,260408_121029067.jpg,12,301894.750632,3.7,4.94,328.8,1886,2.69,3.44,3.13,5.83,0.593,0,nan,nan,5.325,True,False,True,True,clean,
864,260408_121030484.jpg,12,301896.168034,3.45,14.2,322.1,1297,3.17,7.34,9.92,15.32,0.192,0,nan,nan,5.375,False,False,False,True,reject,geometry+turning
865,260408_121031975.jpg,12,301897.658736,3.42,17.45,320.4,290,-0.24,-16.48,1.23,8.44,0.065,0,nan,nan,4.9750000000000005,False,False,False,True,usable,few_edges+turning
866,260408_121033288.jpg,12,301898.972011,3.86,10.03,344.2,690,-7.23,-13.11,13.26,13.9,0.053,0,nan,nan,5.875,False,False,False,True,reject,geometry+turning
867,260408_121034460.jpg,12,301900.144613,4.31,1.85,369.5,236,-8.25,0.81,8.46,13.41,0.024,0,nan,nan,5.425000000000001,False,False,True,True,unverified,few_edges
868,260408_121035577.jpg,12,301901.261814,4.62,0.42,392.7,557,7.44,9.02,9.92,9.53,0.042,0,nan,nan,5.425000000000001,False,False,True,True,reject,geometry
869,260408_121036646.jpg,12,301902.331038,4.72,0.48,374.4,1301,-0.05,-6.16,11.22,25.38,0.068,0,nan,nan,6.175000000000001,False,False,True,True,reject,geometry
870,260408_121037703.jpg,12,301903.387339,4.75,0.56,376.0,1571,-0.32,-4.45,15.84,5.11,0.139,0,nan,nan,5.9750000000000005,True,False,True,True,clean,
871,260408_121038753.jpg,12,301904.437641,4.66,0.57,377.4,1891,-1.7,-0.76,10.47,11.0,0.19,0,nan,nan,6.025,True,False,True,True,clean,
872,260408_121039889.jpg,12,301905.574142,4.32,0.07,395.2,1419,1.51,-3.61,6.27,7.37,0.245,0,nan,nan,6.175000000000001,True,False,True,True,clean,
873,260408_121041166.jpg,12,301906.850844,3.67,12.78,401.0,1087,0.71,-16.46,5.05,13.84,0.14,0,nan,nan,7.125,False,False,False,True,reject,geometry+turning
874,260408_121042761.jpg,12,301908.446046,2.99,24.13,378.1,2638,0.03,-0.06,6.37,4.25,0.501,0,nan,nan,7.275,True,False,False,True,usable,slow+turning
875,260408_121044207.jpg,12,301909.892848,3.47,14.55,364.4,2146,0.61,6.15,7.38,9.32,0.25,0,nan,nan,6.4750000000000005,False,False,False,True,reject,geometry+turning
876,260408_121045467.jpg,12,301911.152949,4.08,0.21,364.8,2311,-0.32,6.15,8.77,13.12,0.165,0,nan,nan,5.675000000000001,False,False,True,True,reject,geometry
877,260408_121046570.jpg,12,301912.256151,4.52,1.63,355.9,2360,1.07,-6.01,11.14,10.71,0.172,0,nan,nan,5.825,False,False,True,True,reject,geometry
878,260408_121047641.jpg,12,301913.327352,4.79,0.16,346.8,3131,-0.53,7.9,7.59,8.23,0.331,0,nan,nan,5.625,False,False,True,True,reject,geometry
879,260408_121048679.jpg,12,301914.365953,4.89,1.43,349.4,2226,-0.46,-8.37,9.6,14.44,0.201,0,nan,nan,5.925000000000001,False,False,True,True,reject,geometry
880,260408_121049697.jpg,12,301915.383455,4.79,1.13,347.7,2362,0.25,-0.82,5.94,13.03,0.263,0,nan,nan,6.175000000000001,True,False,True,True,clean,
881,260408_121050785.jpg,12,301916.471856,4.57,0.08,349.0,3203,3.41,-10.53,7.08,13.28,0.112,0,nan,nan,6.675000000000001,False,False,True,True,reject,geometry
882,260408_121051960.jpg,12,301917.646657,4.19,0.49,360.4,2474,0.19,15.67,9.43,12.81,0.115,0,nan,nan,5.2250000000000005,False,False,True,True,reject,geometry
883,260408_121053330.jpg,12,301919.016959,3.58,2.43,412.5,1626,-0.23,-0.0,3.43,8.08,0.264,0,nan,nan,5.625,True,False,True,True,clean,
884,260408_121054997.jpg,12,301920.684903,3.07,8.98,418.3,2030,-0.24,-0.48,10.55,7.65,0.261,0,nan,nan,5.7250000000000005,True,False,False,True,usable,turning
885,260408_121056646.jpg,12,301922.333405,3.2,14.94,356.1,1773,1.49,0.95,9.48,11.97,0.227,0,nan,nan,5.375,True,False,False,True,usable,turning
886,260408_121058070.jpg,12,301923.758343,3.61,13.13,304.2,2027,-0.32,-0.29,7.36,11.17,0.218,0,nan,nan,4.525,True,False,False,True,usable,turning
887,260408_121059409.jpg,12,301925.097288,3.72,8.22,300.6,2149,-0.14,-1.8,8.88,10.67,0.232,0,nan,nan,4.875,True,False,False,True,usable,turning
888,260408_121100803.jpg,12,301926.49158,3.74,4.14,319.5,3211,-0.05,-0.79,9.2,12.69,0.248,0,nan,nan,5.325,True,False,True,True,clean,
889,260408_121102070.jpg,12,301927.758582,4.03,0.2,350.0,3554,-1.94,0.53,10.78,13.15,0.16,0,nan,nan,5.675000000000001,True,False,True,True,clean,
890,260408_121103220.jpg,12,301928.908983,4.34,0.11,356.3,4944,-0.51,4.66,9.26,9.75,0.297,0,nan,nan,5.525,True,False,True,True,clean,
891,260408_121104316.jpg,12,301930.005185,4.49,2.15,350.6,4896,-0.33,-0.6,7.83,11.96,0.253,0,nan,nan,5.625,True,False,True,True,clean,
892,260408_121105394.jpg,12,301931.083086,4.52,1.37,311.9,4199,-0.5,-1.46,6.49,13.18,0.239,0,nan,nan,5.175000000000001,True,False,True,True,clean,
893,260408_121106531.jpg,12,301932.220588,4.45,0.72,278.0,2539,-0.53,0.21,6.23,8.83,0.328,0,nan,nan,5.175000000000001,True,False,True,True,clean,
894,260408_121107689.jpg,12,301933.378089,4.29,0.69,262.1,1779,-0.86,-1.09,6.09,11.34,0.247,0,nan,nan,6.075,True,False,True,True,clean,
895,260408_121108909.jpg,12,301934.599091,4.16,0.67,280.9,2150,0.11,-1.15,5.17,10.18,0.335,0,nan,nan,5.575,True,False,True,True,clean,
896,260408_121110110.jpg,12,301935.800192,4.07,2.47,334.8,1089,0.07,-5.48,9.79,13.24,0.193,0,nan,nan,5.325,True,False,True,True,clean,
897,260408_121111398.jpg,12,301937.088194,3.94,0.6,361.7,1435,0.56,-1.6,7.26,8.65,0.301,0,nan,nan,4.875,True,False,True,True,clean,
898,260408_121112756.jpg,12,301938.446595,3.79,3.04,326.4,1467,-0.7,-2.98,4.54,14.23,0.29,0,nan,nan,4.775,True,False,True,True,clean,
899,260408_121114108.jpg,12,301939.798197,3.63,0.47,396.4,524,-0.72,21.59,7.34,8.83,0.104,0,nan,nan,4.525,False,False,True,True,reject,geometry
900,260408_121115580.jpg,12,301941.270699,3.39,0.12,475.8,1139,-11.02,-20.9,8.71,3.82,0.101,0,nan,nan,4.375,False,False,True,True,reject,geometry
901,260408_121117208.jpg,12,301942.898701,3.25,0.07,283.9,2580,-0.6,3.26,7.35,17.74,0.192,0,nan,nan,4.625,False,False,True,True,reject,geometry
902,260408_121118802.jpg,12,301944.492861,3.14,1.29,228.1,1809,-0.45,-10.79,6.79,12.34,0.1,0,nan,nan,4.9750000000000005,False,False,True,True,reject,geometry
903,260408_121120428.jpg,12,301946.119863,2.95,0.0,213.6,1365,0.38,2.16,8.23,12.17,0.146,0,nan,nan,4.4750000000000005,True,False,False,True,usable,slow
904,260408_121122229.jpg,12,301947.921165,2.97,0.34,206.5,3419,8.1,-4.93,7.22,11.39,0.268,0,nan,nan,4.2250000000000005,False,False,False,True,reject,geometry+slow
905,260408_121123736.jpg,12,301949.428267,3.22,0.2,214.6,2213,-0.11,0.1,6.24,16.31,0.185,0,nan,nan,4.325,False,False,True,True,reject,geometry
906,260408_121125282.jpg,12,301950.973969,3.36,0.09,211.9,1358,0.49,-10.33,8.3,10.43,0.101,0,nan,nan,4.2250000000000005,False,False,True,True,reject,geometry
907,260408_121126731.jpg,12,301952.423071,3.25,0.45,214.9,1657,9.34,-6.74,9.38,11.39,0.099,0,nan,nan,4.175,False,False,True,True,reject,geometry
908,260408_121128646.jpg,12,301954.338673,2.99,2.64,203.7,697,-0.36,-18.94,5.52,7.54,0.03,0,nan,nan,4.075,False,False,False,True,reject,geometry+slow
909,260408_121130372.jpg,12,301956.064676,2.78,7.33,191.0,296,-2.9,-1.08,9.11,12.65,0.031,0,nan,nan,3.9250000000000003,False,False,False,True,usable,few_edges+slow+turning
910,260408_121132169.jpg,12,301957.862078,2.83,9.22,186.1,354,-0.53,-17.77,7.69,10.83,0.032,0,nan,nan,3.725,False,False,False,True,reject,geometry+slow+turning
911,260408_121133705.jpg,12,301959.39828,3.21,7.25,186.6,558,-0.69,0.49,9.28,14.8,0.071,0,nan,nan,3.7750000000000004,False,False,False,True,reject,geometry+turning
912,260408_121135084.jpg,12,301960.777482,3.76,3.51,185.9,793,0.12,-8.84,7.94,15.52,0.095,0,nan,nan,3.725,False,False,True,True,reject,geometry
913,260408_121136278.jpg,12,301961.971683,4.2,0.21,182.1,1232,-0.59,3.22,7.56,20.22,0.139,0,nan,nan,3.625,False,False,True,True,reject,geometry
914,260408_121137422.jpg,12,301963.115885,4.15,6.51,182.2,502,0.19,-6.95,2.38,11.58,0.106,0,nan,nan,3.725,False,False,False,True,reject,geometry+turning
915,260408_121138752.jpg,12,301964.446086,3.87,3.62,180.8,726,-0.21,-4.11,4.51,20.69,0.096,0,nan,nan,4.325,False,False,True,True,reject,geometry
916,260408_121140039.jpg,12,301965.733088,3.83,6.11,179.9,261,0.27,-5.56,1.09,9.29,0.095,0,nan,nan,4.075,False,False,False,True,usable,few_edges+turning
917,260408_121141296.jpg,12,301966.990989,3.91,8.13,179.8,267,-0.15,-0.72,2.17,19.73,0.071,0,nan,nan,3.7750000000000004,False,False,False,True,usable,few_edges+turning
918,260408_121142516.jpg,12,301968.210491,4.12,4.54,176.8,387,0.48,-6.33,8.03,10.1,0.106,0,nan,nan,3.6750000000000003,False,False,True,True,reject,geometry
919,260408_121143639.jpg,12,301969.334092,4.35,2.24,178.7,646,-2.52,9.38,5.72,17.32,0.096,0,nan,nan,3.625,False,False,True,True,reject,geometry
920,260408_121144761.jpg,12,301970.456794,4.21,0.96,177.6,111,-0.32,-9.9,2.37,7.37,0.214,0,nan,nan,3.725,False,False,True,True,unverified,few_edges
921,260408_121146137.jpg,12,301971.832656,3.63,2.71,181.0,163,0.66,1.73,3.97,7.36,0.109,0,nan,nan,4.025,False,False,True,True,unverified,few_edges
922,260408_121147718.jpg,12,301973.413758,3.13,2.92,183.8,214,-0.37,7.96,7.01,11.19,0.15,0,nan,nan,4.525,False,False,True,True,unverified,few_edges
923,260408_121149491.jpg,12,301975.186561,2.7,8.27,186.2,406,0.46,2.03,13.51,19.42,0.074,0,nan,nan,4.925000000000001,False,False,False,True,reject,geometry+slow+turning
924,260408_121152687.jpg,12,301978.383465,1.48,16.19,182.5,408,-0.4,5.31,8.61,13.93,0.151,0,nan,nan,9.425,True,False,False,True,usable,slow+turning
925,260408_121155953.jpg,12,301981.650299,2.05,23.77,185.0,336,0.1,0.38,10.67,20.6,0.036,0,nan,nan,8.825000000000001,False,False,False,True,reject,geometry+slow+turning
926,260408_121157498.jpg,12,301983.1956,3.51,22.55,189.7,622,-0.57,-4.67,6.07,12.82,0.185,0,nan,nan,6.075,True,False,False,True,usable,turning
927,260408_121158597.jpg,12,301984.294602,4.8,6.01,185.8,506,0.18,-13.09,7.47,12.71,0.163,0,nan,nan,5.025,False,False,False,True,reject,geometry+turning
928,260408_121159494.jpg,12,301985.191703,5.77,0.97,184.7,286,0.21,-11.92,10.7,10.51,0.182,0,nan,nan,4.175,False,False,True,True,unverified,few_edges
929,260408_121200272.jpg,12,301985.969755,6.45,1.34,184.8,176,-0.05,-14.15,0.72,11.62,0.254,0,nan,nan,3.725,False,False,True,True,unverified,few_edges
930,260408_121200995.jpg,12,301986.692956,6.83,0.47,182.3,59,0.87,-20.57,14.64,13.25,0.003,0,nan,nan,3.825,False,False,True,True,unverified,few_edges
931,260408_121201709.jpg,12,301987.407357,6.99,0.41,182.4,64,-6.9,-21.74,13.95,7.95,0.005,0,nan,nan,3.7750000000000004,False,False,True,True,unverified,few_edges
932,260408_121202409.jpg,12,301988.106758,7.07,0.7,183.5,37,nan,nan,nan,nan,nan,0,nan,nan,3.975,False,False,True,True,unverified,few_edges
933,260408_121203108.jpg,12,301988.806159,7.27,0.55,181.1,84,15.87,-30.52,0.7,4.62,0.0,0,nan,nan,3.7750000000000004,False,False,True,True,unverified,few_edges
934,260408_121203788.jpg,12,301989.486559,7.46,0.29,178.4,18,nan,nan,nan,nan,nan,0,nan,nan,3.875,False,False,True,True,unverified,few_edges
935,260408_121204446.jpg,12,301990.144623,7.64,0.17,172.0,12,nan,nan,nan,nan,nan,0,nan,nan,3.725,False,False,True,True,unverified,few_edges
936,260408_121205078.jpg,12,301990.776118,7.84,0.19,167.2,54,-18.36,-12.43,11.8,11.71,0.037,0,nan,nan,3.5250000000000004,False,False,True,True,unverified,few_edges
937,260408_121205698.jpg,12,301991.396619,7.94,0.43,167.8,70,-0.21,-17.06,4.34,5.55,0.071,0,nan,nan,3.625,False,False,True,True,unverified,few_edges
938,260408_121206318.jpg,12,301992.01702,8.01,0.07,167.9,79,-3.69,14.16,10.03,3.84,0.07,0,nan,nan,3.725,False,False,True,True,unverified,few_edges
939,260408_121206940.jpg,12,301992.638421,8.04,0.54,164.6,97,-7.27,-10.66,13.53,2.96,0.04,0,nan,nan,3.725,False,False,True,True,unverified,few_edges
940,260408_121207568.jpg,12,301993.267022,7.9,0.58,164.5,76,-16.04,-1.2,12.88,4.46,0.065,0,nan,nan,3.725,False,False,True,True,unverified,few_edges
941,260408_121208211.jpg,12,301993.909722,7.76,0.27,163.8,13,nan,nan,nan,nan,nan,0,nan,nan,3.6750000000000003,False,False,True,True,unverified,few_edges
942,260408_121208875.jpg,12,301994.573923,7.66,0.18,165.0,535,0.66,1.15,6.01,13.49,0.19,0,nan,nan,3.575,True,False,True,True,clean,
943,260408_121209536.jpg,12,301995.235324,7.58,0.31,166.5,514,-0.02,-0.27,4.44,13.58,0.136,0,nan,nan,3.625,True,False,True,True,clean,
944,260408_121210196.jpg,12,301995.894911,7.49,0.3,170.9,696,-0.42,-12.66,8.71,21.35,0.09,0,nan,nan,3.6750000000000003,False,False,True,True,reject,geometry
945,260408_121210877.jpg,12,301996.576312,7.36,0.07,176.0,269,0.94,14.05,7.08,13.46,0.046,0,nan,nan,3.7750000000000004,False,False,True,True,unverified,few_edges
946,260408_121211565.jpg,12,301997.264313,7.27,0.5,184.1,1,nan,nan,nan,nan,nan,0,nan,nan,3.9250000000000003,False,False,True,True,unverified,few_edges
947,260408_121212272.jpg,12,301997.971414,7.16,0.44,199.8,122,6.46,1.27,9.99,18.24,0.04,0,nan,nan,4.325,False,False,True,True,unverified,few_edges
948,260408_121212976.jpg,12,301998.676215,7.03,0.28,222.1,33,nan,nan,nan,nan,nan,0,nan,nan,5.325,False,False,True,True,unverified,few_edges
949,260408_121213707.jpg,12,301999.407276,6.9,0.39,239.3,1,nan,nan,nan,nan,nan,0,nan,nan,4.525,False,False,True,True,unverified,few_edges
950,260408_121214430.jpg,12,302000.130177,6.73,0.19,217.8,3,nan,nan,nan,nan,nan,0,nan,nan,5.525,False,False,True,True,unverified,few_edges
951,260408_121215215.jpg,12,302000.915078,6.56,0.39,199.6,137,4.83,-16.04,6.3,11.59,0.049,0,nan,nan,5.125,False,False,True,True,unverified,few_edges
952,260408_121216003.jpg,12,302001.703679,6.42,0.6,181.5,185,-0.58,-6.05,11.99,10.46,0.07,0,nan,nan,4.275,False,False,True,True,unverified,few_edges
953,260408_121216804.jpg,12,302002.50478,6.23,0.04,168.6,608,0.15,-7.18,11.24,15.11,0.065,0,nan,nan,3.975,False,False,True,True,reject,geometry
954,260408_121217621.jpg,12,302003.320981,6.06,0.17,159.6,962,-0.14,0.39,7.9,9.95,0.241,0,nan,nan,3.7750000000000004,True,False,True,True,clean,
955,260408_121218466.jpg,12,302004.166582,5.88,0.08,155.3,877,-0.82,7.19,7.19,15.27,0.089,0,nan,nan,3.5250000000000004,False,False,True,True,reject,geometry
956,260408_121219324.jpg,12,302005.024583,5.83,0.25,150.8,1070,-0.58,1.48,11.22,11.21,0.258,0,nan,nan,3.625,True,False,True,True,clean,
957,260408_121220170.jpg,12,302005.870684,5.99,0.33,148.8,1388,-0.74,-0.69,5.7,11.24,0.284,0,nan,nan,3.475,True,False,True,True,clean,
958,260408_121220985.jpg,12,302006.686485,6.23,0.43,148.7,33,nan,nan,nan,nan,nan,0,nan,nan,3.5250000000000004,False,False,True,True,unverified,few_edges
959,260408_121221775.jpg,12,302007.475886,6.39,0.05,150.2,24,nan,nan,nan,nan,nan,0,nan,nan,3.375,False,False,True,True,unverified,few_edges
960,260408_121222543.jpg,12,302008.244287,6.53,0.15,150.6,32,nan,nan,nan,nan,nan,0,nan,nan,3.5250000000000004,False,False,True,True,unverified,few_edges
961,260408_121223301.jpg,12,302009.002488,6.62,0.06,151.9,40,nan,nan,nan,nan,nan,0,nan,nan,3.5250000000000004,False,False,True,True,unverified,few_edges
962,260408_121224052.jpg,12,302009.752989,6.65,0.17,151.9,7,nan,nan,nan,nan,nan,0,nan,nan,3.7750000000000004,False,False,True,True,unverified,few_edges
963,260408_121224796.jpg,12,302010.49779,6.51,0.08,152.3,6,nan,nan,nan,nan,nan,0,nan,nan,3.7750000000000004,False,False,True,True,unverified,few_edges
964,260408_121225594.jpg,12,302011.295691,6.24,0.64,155.6,0,nan,nan,nan,nan,nan,0,nan,nan,3.6750000000000003,False,False,True,True,unverified,few_edges
965,260408_121226421.jpg,12,302012.122792,5.78,0.44,154.3,19,nan,nan,nan,nan,nan,0,nan,nan,3.6750000000000003,False,False,True,True,unverified,few_edges
966,260408_121227418.jpg,12,302013.119793,4.69,1.09,157.0,28,nan,nan,nan,nan,nan,0,nan,nan,4.075,False,False,True,True,unverified,few_edges
967,260408_121229040.jpg,12,302014.742195,3.58,1.75,159.0,39,nan,nan,nan,nan,nan,0,nan,nan,4.7250000000000005,False,False,True,True,unverified,few_edges
968,260408_121342254.jpg,13,302087.967293,9.43,1.44,201.9,19,nan,nan,nan,nan,nan,0,nan,nan,3.7750000000000004,False,False,True,True,unverified,few_edges
