frame,filename,pass_id,t,speed,yaw_rate,sharpness,n_edge,du,dv,du_mad,dv_mad,inlier8,n_edge_other,du_other,dv_other,de_nt,geometry_ok,pass_conflict,motion_ok,sharp_ok,cls,reasons
81,260408_115025038.jpg,0,300690.532392,8.09,0.23,443.4,1042,-2.55,8.09,7.38,10.21,0.11,0,nan,nan,5.675000000000001,False,False,True,True,reject,geometry
82,260408_115025653.jpg,0,300691.147192,8.07,0.6,412.0,1949,-0.44,-1.03,8.89,10.76,0.196,0,nan,nan,5.9750000000000005,True,False,True,True,clean,
83,260408_115026268.jpg,0,300691.761993,8.06,0.39,382.7,2540,7.05,-0.7,10.47,8.1,0.222,0,nan,nan,6.775,False,False,True,True,reject,geometry
84,260408_115026882.jpg,0,300692.376794,8.07,0.22,347.7,2722,0.12,0.74,7.0,8.41,0.284,0,nan,nan,3.975,True,False,True,True,clean,
85,260408_115027497.jpg,0,300692.991595,8.08,0.09,392.2,2023,-1.31,1.92,5.99,10.15,0.223,0,nan,nan,6.075,True,False,True,True,clean,
86,260408_115028112.jpg,0,300693.606395,8.09,0.05,366.0,1813,-0.13,3.93,5.53,13.97,0.143,0,nan,nan,8.575000000000001,True,False,True,True,clean,
87,260408_115028726.jpg,0,300694.221196,8.12,0.21,384.0,1694,-0.77,0.94,4.06,13.37,0.127,0,nan,nan,9.725000000000001,True,False,True,True,clean,
88,260408_115029341.jpg,0,300694.835997,8.15,0.78,389.9,1237,-6.18,-6.0,9.76,12.61,0.053,0,nan,nan,6.825,False,False,True,True,reject,geometry
89,260408_115029956.jpg,0,300695.450798,8.18,1.29,407.1,1385,0.05,1.61,12.22,15.57,0.071,0,nan,nan,6.275,False,False,True,True,reject,geometry
90,260408_115030571.jpg,0,300696.065598,8.33,1.95,411.6,1598,0.32,0.95,9.8,11.07,0.156,0,nan,nan,5.7250000000000005,True,False,True,True,clean,
91,260408_115031159.jpg,0,300696.654199,8.66,2.34,381.4,1327,-0.71,-0.36,7.96,11.7,0.171,0,nan,nan,5.425000000000001,True,False,True,True,clean,
92,260408_115031716.jpg,0,300697.2107,9.06,2.42,342.0,1134,0.1,0.99,6.69,10.81,0.249,0,nan,nan,6.125,True,False,True,True,clean,
93,260408_115032259.jpg,0,300697.7547,9.3,2.42,323.5,2043,-0.3,-0.15,6.25,11.33,0.395,0,nan,nan,4.775,True,False,True,True,clean,
94,260408_115032793.jpg,0,300698.288501,9.34,2.79,393.0,2156,0.69,-0.49,10.78,16.95,0.145,0,nan,nan,6.575,False,False,True,True,reject,geometry
95,260408_115033327.jpg,0,300698.822302,9.34,3.22,428.0,2102,3.43,0.92,13.62,11.35,0.157,0,nan,nan,5.275,True,False,True,True,clean,
96,260408_115033861.jpg,0,300699.356102,9.31,2.35,322.0,1768,-0.3,0.46,8.07,10.61,0.27,0,nan,nan,4.525,True,False,True,True,clean,
97,260408_115034394.jpg,0,300699.889903,9.27,2.26,262.3,1263,-0.87,2.78,11.91,13.79,0.128,0,nan,nan,3.9250000000000003,True,False,True,True,clean,
98,260408_115034928.jpg,0,300700.423704,9.23,2.87,251.6,1436,0.74,-1.46,17.02,8.55,0.15,0,nan,nan,3.725,False,False,True,True,reject,geometry
99,260408_115035462.jpg,0,300700.957504,9.2,2.42,263.6,2028,-3.22,-10.91,8.97,9.96,0.185,0,nan,nan,3.975,False,False,True,True,reject,geometry
100,260408_115035995.jpg,0,300701.491305,9.16,1.57,296.5,4608,0.66,-0.51,7.18,10.72,0.263,0,nan,nan,4.075,True,False,True,True,clean,
101,260408_115036540.jpg,0,300702.035506,9.13,0.82,295.7,5474,0.55,0.15,10.19,12.61,0.246,0,nan,nan,4.275,True,False,True,True,clean,
102,260408_115037084.jpg,0,300702.579706,9.11,0.56,313.1,4646,0.54,-0.59,8.6,11.39,0.213,0,nan,nan,4.125,True,False,True,True,clean,
103,260408_115037628.jpg,0,300703.123907,9.09,0.74,320.7,4815,0.31,-0.19,7.19,9.66,0.258,0,nan,nan,4.775,True,False,True,True,clean,
104,260408_115038172.jpg,0,300703.668108,9.09,0.71,269.5,3404,-0.37,-0.47,7.05,10.61,0.253,0,nan,nan,9.375,True,False,True,True,clean,
105,260408_115038716.jpg,0,300704.212308,9.09,0.35,272.7,3771,0.08,-0.3,7.31,9.32,0.303,0,nan,nan,6.875,True,False,True,True,clean,
106,260408_115039260.jpg,0,300704.756509,9.1,0.11,296.4,3475,0.03,-0.0,7.13,9.58,0.286,0,nan,nan,4.575,True,False,True,True,clean,
107,260408_115039804.jpg,0,300705.30071,9.11,0.05,290.2,3835,-0.21,3.06,6.2,10.22,0.309,0,nan,nan,5.675000000000001,True,False,True,True,clean,
108,260408_115040348.jpg,0,300705.84491,9.1,0.27,289.6,3983,0.06,1.61,7.4,12.33,0.246,0,nan,nan,7.025,True,False,True,True,clean,
109,260408_115040892.jpg,0,300706.389111,9.08,0.24,283.3,3542,-0.4,-0.05,5.49,13.11,0.237,0,nan,nan,6.775,True,False,True,True,clean,
110,260408_115041437.jpg,0,300706.933312,9.07,0.11,268.4,4172,-0.07,0.29,7.57,11.93,0.264,0,nan,nan,4.925000000000001,True,False,True,True,clean,
111,260408_115041981.jpg,0,300707.477512,9.05,0.38,267.2,4727,0.03,0.88,8.29,12.56,0.203,0,nan,nan,4.675,True,False,True,True,clean,
112,260408_115042525.jpg,0,300708.021713,9.05,0.31,269.6,4961,-0.61,0.27,8.85,11.03,0.18,0,nan,nan,4.275,True,False,True,True,clean,
113,260408_115043069.jpg,0,300708.565914,9.07,0.15,281.6,5726,-0.02,0.71,5.44,11.06,0.223,0,nan,nan,4.275,True,False,True,True,clean,
114,260408_115043613.jpg,0,300709.110114,9.08,0.48,254.8,6261,-0.29,3.3,8.13,12.58,0.187,0,nan,nan,4.925000000000001,True,False,True,True,clean,
115,260408_115044157.jpg,0,300709.654315,9.1,1.44,256.5,5006,-0.05,1.67,7.54,14.86,0.135,0,nan,nan,4.575,True,False,True,True,clean,
116,260408_115044701.jpg,0,300710.198516,9.13,2.82,284.1,5018,0.1,-0.41,6.02,10.6,0.307,0,nan,nan,6.675000000000001,True,False,True,True,clean,
117,260408_115045245.jpg,0,300710.742716,9.14,3.04,292.9,4522,-0.37,0.23,8.09,10.43,0.25,0,nan,nan,4.375,True,False,True,True,clean,
118,260408_115045790.jpg,0,300711.286917,9.14,2.7,293.8,4775,0.52,0.01,8.31,12.53,0.241,0,nan,nan,4.575,True,False,True,True,clean,
119,260408_115046334.jpg,0,300711.831118,9.14,2.67,270.8,4118,-0.09,0.37,8.53,9.93,0.268,0,nan,nan,5.075,True,False,True,True,clean,
120,260408_115046878.jpg,0,300712.375319,9.13,2.69,240.8,5892,-0.84,0.59,8.68,9.49,0.274,0,nan,nan,6.625,True,False,True,True,clean,
121,260408_115047422.jpg,0,300712.919519,9.13,2.49,233.7,7725,-0.85,0.69,6.72,11.48,0.309,0,nan,nan,5.4750000000000005,True,False,True,True,clean,
